,instant;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;casual;registered;cnt
0,1;01/01/2011;1;0;1;0;6;0;2;0.344167;0.363625;0.805833;0.160446;331;654;985
1,2;02/01/2011;1;0;1;0;0;0;2;0.363478;0.353739;0.696087;0.248539;131;670;801
2,3;03/01/2011;1;0;1;0;1;1;1;0.196364;0.189405;0.437273;0.248309;120;1229;1349
3,4;04/01/2011;1;0;1;0;2;1;1;00.02;0.212122;0.590435;0.160296;108;1454;1562
4,6;06/01/2011;1;0;1;0;4;1;1;0.204348;0.233209;0.518261;0.0895652;88;1518;1606
5,7;07/01/2011;1;0;1;0;5;1;2;0.196522;0.208839;0.498696;0.168726;148;1362;1510
6,9;09/01/2011;1;0;1;0;0;0;1;0.138333;0.116175;0.434167;0.36195;54;768;822
7,10;10/01/2011;1;0;1;0;1;1;1;0.150833;0.150888;0.482917;0.223267;41;1280;1321
8,11;11/01/2011;1;0;1;0;2;1;2;0.169091;0.191464;0.686364;0.122132;43;1220;1263
9,12;12/01/2011;1;0;1;0;3;1;1;0.172727;0.160473;0.599545;0.304627;25;1137;1162
10,14;14/01/2011;1;0;1;0;5;1;1;0.16087;0.188413;0.537826;0.126548;54;1367;1421
11,15;15/01/2011;1;0;1;0;6;0;2;0.233333;0.248112;0.49875;0.157963;222;1026;1248
12,16;16/01/2011;1;0;1;0;0;0;1;0.231667;0.234217;0.48375;0.188433;251;953;1204
13,18;18/01/2011;1;0;1;0;2;1;2;0.216667;0.232333;0.861667;0.146775;9;674;683
14,19;19/01/2011;1;0;1;0;3;1;2;0.292174;0.298422;0.741739;0.208317;78;1572;1650
15,20;20/01/2011;1;0;1;0;4;1;2;0.261667;0.25505;0.538333;0.195904;83;1844;1927
16,22;22/01/2011;1;0;1;0;6;0;1;0.0591304;0.0790696;00.04;0.17197;93;888;981
17,24;24/01/2011;1;0;1;0;1;1;1;0.0973913;0.11793;0.491739;0.15833;86;1330;1416
18,25;25/01/2011;1;0;1;0;2;1;2;0.223478;0.234526;0.616957;0.129796;186;1799;1985
19,29;29/01/2011;1;0;1;0;6;0;1;0.196522;0.212126;0.651739;0.145365;123;975;1098
20,30;30/01/2011;1;0;1;0;0;0;1;0.216522;0.250322;0.722174;0.0739826;140;956;1096
21,31;31/01/2011;1;0;1;0;1;1;2;0.180833;0.18625;0.60375;0.187192;42;1459;1501
22,32;01/02/2011;1;0;2;0;2;1;2;0.192174;0.23453;0.829565;0.053213;47;1313;1360
23,33;02/02/2011;1;0;2;0;3;1;2;00.26;0.254417;0.775417;0.264308;72;1454;1526
24,34;03/02/2011;1;0;2;0;4;1;1;0.186957;0.177878;0.437826;0.277752;61;1489;1550
25,35;04/02/2011;1;0;2;0;5;1;2;0.211304;0.228587;0.585217;0.127839;88;1620;1708
26,36;05/02/2011;1;0;2;0;6;0;2;0.233333;0.243058;0.929167;0.161079;100;905;1005
27,38;07/02/2011;1;0;2;0;1;1;1;0.271667;0.303658;0.738333;0.0454083;120;1592;1712
28,39;08/02/2011;1;0;2;0;2;1;1;0.220833;0.198246;0.537917;0.36195;64;1466;1530
29,40;09/02/2011;1;0;2;0;3;1;2;0.134783;0.144283;0.494783;0.188839;53;1552;1605
30,41;10/02/2011;1;0;2;0;4;1;1;0.144348;0.149548;0.437391;0.221935;47;1491;1538
31,42;11/02/2011;1;0;2;0;5;1;1;0.189091;0.213509;0.506364;0.10855;149;1597;1746
32,44;13/02/2011;1;0;2;0;0;0;1;0.316522;0.324113;0.457391;0.260883;397;1192;1589
33,46;15/02/2011;1;0;2;0;2;1;1;0.266087;0.254274;0.314348;0.291374;140;1675;1815
34,49;18/02/2011;1;0;2;0;5;1;1;0.521667;0.511983;0.516667;0.264925;579;2348;2927
35,50;19/02/2011;1;0;2;0;6;0;1;0.399167;0.391404;0.187917;0.507463;532;1103;1635
36,51;20/02/2011;1;0;2;0;0;0;1;0.285217;0.27733;0.407826;0.223235;639;1173;1812
37,53;22/02/2011;1;0;2;0;2;1;1;0.182222;0.186033;0.577778;0.195683;74;1376;1450
38,54;23/02/2011;1;0;2;0;3;1;1;0.221739;0.245717;0.423043;0.094113;139;1778;1917
39,55;24/02/2011;1;0;2;0;4;1;2;0.295652;0.289191;0.697391;0.250496;100;1707;1807
40,56;25/02/2011;1;0;2;0;5;1;2;0.364348;0.350461;0.712174;0.346539;120;1341;1461
41,59;28/02/2011;1;0;2;0;1;1;2;0.407273;0.400118;0.876364;0.289686;81;1365;1446
42,62;03/03/2011;1;0;3;0;4;1;1;0.198333;0.200133;0.318333;0.225754;123;1562;1685
43,63;04/03/2011;1;0;3;0;5;1;2;0.261667;0.255679;0.610417;0.203346;214;1730;1944
44,64;05/03/2011;1;0;3;0;6;0;2;0.384167;0.378779;0.789167;0.251871;640;1437;2077
45,65;06/03/2011;1;0;3;0;0;0;2;0.376522;0.366252;0.948261;0.343287;114;491;605
46,66;07/03/2011;1;0;3;0;1;1;1;0.261739;0.238461;0.551304;0.341352;244;1628;1872
47,68;09/03/2011;1;0;3;0;3;1;2;0.295833;0.286608;0.775417;0.22015;191;1700;1891
48,69;10/03/2011;1;0;3;0;4;1;3;0.389091;0.385668;0;0.261877;46;577;623
49,71;12/03/2011;1;0;3;0;6;0;1;0.329167;0.32575;0.594583;0.220775;724;1408;2132
50,72;13/03/2011;1;0;3;0;0;0;1;0.384348;0.380091;0.527391;0.270604;982;1435;2417
51,74;15/03/2011;1;0;3;0;2;1;2;0.317391;0.318178;0.655652;0.184309;289;1767;2056
52,75;16/03/2011;1;0;3;0;3;1;2;0.365217;0.36693;0.776522;0.203117;321;1871;2192
53,77;18/03/2011;1;0;3;0;5;1;1;00.54;0.527009;0.525217;0.231017;884;2355;3239
54,80;21/03/2011;2;0;3;0;1;1;2;0.430435;0.409735;0.737391;0.288783;401;1676;2077
55,81;22/03/2011;2;0;3;0;2;1;1;0.441667;0.440642;0.624583;0.22575;460;2243;2703
56,82;23/03/2011;2;0;3;0;3;1;2;0.346957;0.337939;0.839565;0.234261;203;1918;2121
57,85;26/03/2011;2;0;3;0;6;0;1;0.265833;0.257571;0.394167;0.209571;981;1515;2496
58,87;28/03/2011;2;0;3;0;1;1;1;0.264348;0.257574;0.302174;0.212204;222;1806;2028
59,89;30/03/2011;2;0;3;0;3;1;2;00.03;0.29735;0.646667;0.172888;168;1368;1536
60,90;31/03/2011;2;0;3;0;4;1;3;0.268333;0.257575;0.918333;0.217646;179;1506;1685
61,91;01/04/2011;2;0;4;0;5;1;2;00.03;0.283454;0.68625;0.258708;307;1920;2227
62,93;03/04/2011;2;0;4;0;0;0;1;0.378333;0.378767;00.48;0.182213;1651;1598;3249
63,94;04/04/2011;2;0;4;0;1;1;1;0.573333;0.542929;0.42625;0.385571;734;2381;3115
64,95;05/04/2011;2;0;4;0;2;1;2;0.414167;0.39835;0.642083;0.388067;167;1628;1795
65,96;06/04/2011;2;0;4;0;3;1;1;0.390833;0.387608;0.470833;0.263063;413;2395;2808
66,98;08/04/2011;2;0;4;0;5;1;2;0.335833;0.324479;0.83625;0.226992;172;1299;1471
67,101;11/04/2011;2;0;4;0;1;1;2;0.595652;0.565217;0.716956;0.324474;855;2493;3348
68,105;15/04/2011;2;0;4;1;5;0;1;0.446667;0.441913;0.67125;0.226375;642;2484;3126
69,106;16/04/2011;2;0;4;0;6;0;3;0.430833;0.425492;0.888333;0.340808;121;674;795
70,107;17/04/2011;2;0;4;0;0;0;1;0.456667;0.445696;0.479583;0.303496;1558;2186;3744
71,109;19/04/2011;2;0;4;0;2;1;2;0.505833;0.489258;0.665833;0.157971;409;2795;3204
72,111;21/04/2011;2;0;4;0;4;1;1;0.459167;0.453892;0.407083;0.325258;745;3444;4189
73,112;22/04/2011;2;0;4;0;5;1;2;0.336667;0.321954;0.729583;0.219521;177;1506;1683
74,113;23/04/2011;2;0;4;0;6;0;2;00.46;0.450121;0.887917;0.230725;1462;2574;4036
75,114;24/04/2011;2;0;4;0;0;0;2;0.581667;0.551763;0.810833;0.192175;1710;2481;4191
76,119;29/04/2011;2;0;4;0;5;1;1;00.51;0.497463;0.457083;0.240063;878;3717;4595
77,121;01/05/2011;2;0;5;0;0;0;2;0.451667;0.448204;0.762083;0.106354;1138;2213;3351
78,123;03/05/2011;2;0;5;0;2;1;2;0.616667;0.582079;0.697083;0.342667;603;3848;4451
79,124;04/05/2011;2;0;5;0;3;1;2;0.414167;0.40465;0.737083;0.328996;255;2378;2633
80,125;05/05/2011;2;0;5;0;4;1;1;0.459167;0.441917;0.444167;0.295392;614;3819;4433
81,126;06/05/2011;2;0;5;0;5;1;1;0.479167;0.474117;00.59;0.228246;894;3714;4608
82,127;07/05/2011;2;0;5;0;6;0;1;00.52;0.512621;0.54125;0.16045;1612;3102;4714
83,128;08/05/2011;2;0;5;0;0;0;1;0.528333;0.518933;0.631667;0.0746375;1401;2932;4333
84,137;17/05/2011;2;0;5;0;2;1;2;0.561667;0.538529;0.837917;0.277354;678;3445;4123
85,139;19/05/2011;2;0;5;0;4;1;2;0.530833;0.510742;0.829583;0.108213;735;3840;4575
86,140;20/05/2011;2;0;5;0;5;1;1;0.536667;0.529042;0.719583;0.125013;909;4008;4917
87,145;25/05/2011;2;0;5;0;3;1;1;0.660833;0.615542;0.69625;0.154233;740;4238;4978
88,147;27/05/2011;2;0;5;0;5;1;1;0.681667;0.637008;0.65375;0.240679;871;3808;4679
89,148;28/05/2011;2;0;5;0;6;0;1;0.655833;0.612379;0.729583;0.230092;2001;2757;4758
90,152;01/06/2011;2;0;6;0;3;1;2;0.764167;0.720967;0.677083;0.207092;513;3461;3974
91,157;06/06/2011;2;0;6;0;1;1;1;0.678333;0.621858;00.06;0.121896;673;3875;4548
92,159;08/06/2011;2;0;6;0;3;1;1;0.775833;0.727279;0.622083;0.136817;676;3725;4401
93,160;09/06/2011;2;0;6;0;4;1;2;0.808333;0.757579;0.568333;0.149883;563;3352;3915
94,165;14/06/2011;2;0;6;0;2;1;1;0.604167;0.591546;0.507083;0.269283;727;4164;4891
95,166;15/06/2011;2;0;6;0;3;1;1;0.626667;0.587754;0.471667;0.167912;769;4411;5180
96,167;16/06/2011;2;0;6;0;4;1;2;0.628333;0.595346;0.688333;0.206471;545;3222;3767
97,168;17/06/2011;2;0;6;0;5;1;1;0.649167;0.600383;0.735833;0.143029;863;3981;4844
98,169;18/06/2011;2;0;6;0;6;0;1;0.696667;0.643954;0.670417;0.119408;1807;3312;5119
99,172;21/06/2011;3;0;6;0;2;1;2;0.680833;0.637646;0.770417;0.171025;774;4061;4835
100,174;23/06/2011;3;0;6;0;4;1;2;0.728333;0.693833;0.703333;0.238804;746;4044;4790
101,175;24/06/2011;3;0;6;0;5;1;1;0.724167;0.656583;0.573333;0.222025;969;4022;4991
102,179;28/06/2011;3;0;6;0;2;1;1;0.744167;0.692558;0.634167;0.144283;732;3916;4648
103,180;29/06/2011;3;0;6;0;3;1;1;0.728333;0.654688;0.497917;0.261821;848;4377;5225
104,181;30/06/2011;3;0;6;0;4;1;1;0.696667;0.637008;0.434167;0.185312;1027;4488;5515
105,183;02/07/2011;3;0;7;0;6;0;1;0.738333;0.667308;0.444583;0.115062;2204;2915;5119
106,185;04/07/2011;3;0;7;1;1;0;2;0.726667;0.665417;0.637917;0.0814792;3065;2978;6043
107,186;05/07/2011;3;0;7;0;2;1;1;0.746667;0.696338;0.590417;0.126258;1031;3634;4665
108,189;08/07/2011;3;0;7;0;5;1;2;0.709167;0.670483;0.757917;0.225129;692;3348;4040
109,190;09/07/2011;3;0;7;0;6;0;1;0.733333;0.664158;0.609167;0.167912;1988;3348;5336
110,193;12/07/2011;3;0;7;0;2;1;1;0.794167;0.739275;0.559167;0.200254;662;3596;4258
111,194;13/07/2011;3;0;7;0;3;1;1;0.746667;0.689404;0.631667;0.146133;748;3594;4342
112,195;14/07/2011;3;0;7;0;4;1;1;0.680833;0.635104;0.47625;0.240667;888;4196;5084
113,196;15/07/2011;3;0;7;0;5;1;1;0.663333;0.624371;0.59125;0.182833;1318;4220;5538
114,198;17/07/2011;3;0;7;0;0;0;1;0.719167;0.669833;0.604167;0.245033;2006;3296;5302
115,199;18/07/2011;3;0;7;0;1;1;1;0.746667;0.703925;0.65125;0.215804;841;3617;4458
116,201;20/07/2011;3;0;7;0;3;1;1;0.768333;0.74685;0.707083;0.113817;644;3688;4332
117,204;23/07/2011;3;0;7;0;6;0;1;0.849167;0.804287;00.05;0.131221;987;2298;3285
118,206;25/07/2011;3;0;7;0;1;1;1;0.743333;0.720958;0.757083;0.0908083;568;3272;3840
119,207;26/07/2011;3;0;7;0;2;1;1;0.771667;0.696979;0.540833;0.200258;750;3840;4590
120,211;30/07/2011;3;0;7;0;6;0;1;0.804167;0.728537;0.465833;0.168537;1559;2916;4475
121,212;31/07/2011;3;0;7;0;0;0;1;0.805833;0.729796;0.480833;0.164813;1524;2778;4302
122,213;01/08/2011;3;0;8;0;1;1;1;0.771667;0.703292;0.550833;0.156717;729;3537;4266
123,214;02/08/2011;3;0;8;0;2;1;1;0.783333;0.707071;0.49125;0.20585;801;4044;4845
124,217;05/08/2011;3;0;8;0;5;1;1;0.710833;0.656567;0.630833;0.184696;1023;3843;4866
125,222;10/08/2011;3;0;8;0;3;1;1;0.766667;0.684983;0.424167;0.200258;884;3896;4780
126,225;13/08/2011;3;0;8;0;6;0;2;0.685833;0.645858;0.729583;0.211454;1504;2646;4150
127,227;15/08/2011;3;0;8;0;1;1;1;0.665833;0.616167;0.712083;0.208954;775;3563;4338
128,228;16/08/2011;3;0;8;0;2;1;1;0.700833;0.645837;0.578333;0.236329;721;4004;4725
129,229;17/08/2011;3;0;8;0;3;1;1;0.723333;0.666671;0.575417;0.143667;668;4026;4694
130,230;18/08/2011;3;0;8;0;4;1;1;0.711667;0.662258;0.654583;0.233208;639;3166;3805
131,234;22/08/2011;3;0;8;0;1;1;1;0.691667;0.638254;00.47;0.27675;833;3925;4758
132,235;23/08/2011;3;0;8;0;2;1;1;0.640833;0.606067;0.455417;0.146763;1281;4614;5895
133,237;25/08/2011;3;0;8;0;4;1;2;0.684167;0.645854;0.771667;0.210833;435;3107;3542
134,238;26/08/2011;3;0;8;0;5;1;1;00.07;0.659733;0.76125;0.0839625;768;3893;4661
135,240;28/08/2011;3;0;8;0;0;0;1;0.707059;0.647959;0.561765;0.304659;1415;2919;4334
136,241;29/08/2011;3;0;8;0;1;1;1;0.636667;0.607958;0.554583;0.159825;729;3905;4634
137,242;30/08/2011;3;0;8;0;2;1;1;0.639167;0.594704;0.548333;0.125008;775;4429;5204
138,243;31/08/2011;3;0;8;0;3;1;1;0.656667;0.611121;0.597917;0.0833333;688;4370;5058
139,245;02/09/2011;3;0;9;0;5;1;2;0.643333;0.604808;0.727083;0.139929;875;3852;4727
140,246;03/09/2011;3;0;9;0;6;0;1;0.669167;0.633213;0.716667;0.185325;1935;2549;4484
141,247;04/09/2011;3;0;9;0;0;0;1;0.709167;0.665429;0.742083;0.206467;2521;2419;4940
142,248;05/09/2011;3;0;9;1;1;0;2;0.673333;0.625646;0.790417;0.212696;1236;2115;3351
143,250;07/09/2011;3;0;9;0;3;1;3;0.599167;0.544229;0.917083;0.0970208;118;1878;1996
144,251;08/09/2011;3;0;9;0;4;1;3;0.633913;0.555361;0.939565;0.192748;153;1689;1842
145,254;11/09/2011;3;0;9;0;0;0;1;0.653333;0.609229;0.71375;0.115054;1633;3413;5046
146,255;12/09/2011;3;0;9;0;1;1;1;0.644348;0.60213;0.692174;0.088913;690;4023;4713
147,259;16/09/2011;3;0;9;0;5;1;2;0.469167;0.461475;0.590417;0.164183;742;4018;4760
148,260;17/09/2011;3;0;9;0;6;0;2;0.491667;0.478512;0.718333;0.189675;1434;3077;4511
149,263;20/09/2011;3;0;9;0;2;1;2;0.561667;0.532217;0.88125;0.134954;438;3203;3641
150,265;22/09/2011;3;0;9;0;4;1;2;0.628333;0.554963;0.902083;0.128125;555;4240;4795
151,270;27/09/2011;4;0;9;0;2;1;2;0.636667;0.574525;0.885417;0.118171;477;3643;4120
152,272;29/09/2011;4;0;9;0;4;1;1;0.616667;0.574512;0.699167;0.172883;653;4186;4839
153,274;01/10/2011;4;0;10;0;6;0;2;00.41;0.412863;0.75375;0.292296;480;1949;2429
154,275;02/10/2011;4;0;10;0;0;0;2;0.356667;0.345317;0.791667;0.222013;616;2302;2918
155,276;03/10/2011;4;0;10;0;1;1;2;0.384167;0.392046;0.760833;0.0833458;330;3240;3570
156,278;05/10/2011;4;0;10;0;3;1;1;0.538333;0.527138;0.647917;0.17725;559;4267;4826
157,279;06/10/2011;4;0;10;0;4;1;1;0.494167;0.480425;0.620833;0.134954;639;4126;4765
158,280;07/10/2011;4;0;10;0;5;1;1;0.510833;0.504404;0.684167;0.0223917;949;4036;4985
159,281;08/10/2011;4;0;10;0;6;0;1;0.521667;0.513242;0.70125;0.0454042;2235;3174;5409
160,283;10/10/2011;4;0;10;1;1;0;1;0.570833;0.542925;0.73375;0.0423042;1514;3603;5117
161,284;11/10/2011;4;0;10;0;2;1;2;0.566667;0.546096;0.80875;0.143042;667;3896;4563
162,285;12/10/2011;4;0;10;0;3;1;3;0.543333;0.517717;0.90625;0.24815;217;2199;2416
163,286;13/10/2011;4;0;10;0;4;1;2;0.589167;0.551804;0.896667;0.141787;290;2623;2913
164,287;14/10/2011;4;0;10;0;5;1;2;0.550833;0.529675;0.71625;0.223883;529;3115;3644
165,288;15/10/2011;4;0;10;0;6;0;1;0.506667;0.498725;0.483333;0.258083;1899;3318;5217
166,289;16/10/2011;4;0;10;0;0;0;1;0.511667;0.503154;0.486667;0.281717;1748;3293;5041
167,290;17/10/2011;4;0;10;0;1;1;1;0.534167;0.510725;0.579583;0.175379;713;3857;4570
168,292;19/10/2011;4;0;10;0;3;1;3;0.541739;0.513848;0.895217;0.243339;254;2170;2424
169,293;20/10/2011;4;0;10;0;4;1;1;0.475833;0.466525;0.63625;0.422275;471;3724;4195
170,296;23/10/2011;4;0;10;0;0;0;1;0.421667;0.422333;0.74125;0.0995125;1619;2762;4381
171,297;24/10/2011;4;0;10;0;1;1;1;0.463333;0.457067;0.772083;0.118792;699;3488;4187
172,298;25/10/2011;4;0;10;0;2;1;1;0.471667;0.463375;0.622917;0.166658;695;3992;4687
173,299;26/10/2011;4;0;10;0;3;1;2;0.484167;0.472846;0.720417;0.148642;404;3490;3894
174,300;27/10/2011;4;0;10;0;4;1;2;00.47;0.457046;0.812917;0.197763;240;2419;2659
175,301;28/10/2011;4;0;10;0;5;1;2;0.330833;0.318812;0.585833;0.229479;456;3291;3747
176,303;30/10/2011;4;0;10;0;0;0;1;0.319167;0.321329;0.62375;0.176617;885;2446;3331
177,304;31/10/2011;4;0;10;0;1;1;1;00.34;0.356063;0.703333;0.10635;362;3307;3669
178,305;01/11/2011;4;0;11;0;2;1;1;0.400833;0.397088;0.68375;0.135571;410;3658;4068
179,307;03/11/2011;4;0;11;0;4;1;1;0.408333;0.405921;0.702083;0.136817;318;3656;3974
180,309;05/11/2011;4;0;11;0;6;0;1;0.326667;0.323854;0.519167;0.189062;1156;2770;3926
181,310;06/11/2011;4;0;11;0;0;0;1;0.348333;0.362358;0.734583;0.0920542;952;2697;3649
182,312;08/11/2011;4;0;11;0;2;1;1;0.408333;0.412246;0.721667;0.0690375;376;3829;4205
183,313;09/11/2011;4;0;11;0;3;1;1;00.04;0.409079;0.758333;0.0621958;305;3804;4109
184,314;10/11/2011;4;0;11;0;4;1;2;00.38;0.373721;0.813333;0.189067;190;2743;2933
185,315;11/11/2011;4;0;11;1;5;0;1;0.324167;0.306817;0.44625;0.314675;440;2928;3368
186,316;12/11/2011;4;0;11;0;6;0;1;0.356667;0.357942;0.552917;0.212062;1275;2792;4067
187,317;13/11/2011;4;0;11;0;0;0;1;0.440833;0.43055;0.458333;0.281721;1004;2713;3717
188,318;14/11/2011;4;0;11;0;1;1;1;00.53;0.524612;0.587083;0.306596;595;3891;4486
189,319;15/11/2011;4;0;11;0;2;1;2;00.53;0.507579;0.68875;0.199633;449;3746;4195
190,321;17/11/2011;4;0;11;0;4;1;2;0.341667;0.323221;0.575833;0.305362;139;2914;3053
191,322;18/11/2011;4;0;11;0;5;1;1;0.274167;0.272721;00.41;0.168533;245;3147;3392
192,323;19/11/2011;4;0;11;0;6;0;1;0.329167;0.324483;0.502083;0.224496;943;2720;3663
193,324;20/11/2011;4;0;11;0;0;0;2;0.463333;0.457058;0.684583;0.18595;787;2733;3520
194,327;23/11/2011;4;0;11;0;3;1;2;0.440833;0.430537;0.757917;0.335825;112;2454;2566
195,328;24/11/2011;4;0;11;1;4;0;1;0.373333;0.372471;0.549167;0.167304;560;935;1495
196,330;26/11/2011;4;0;11;0;6;0;1;0.375833;0.385087;0.681667;0.0684208;1249;1819;3068
197,332;28/11/2011;4;0;11;0;1;1;1;0.503478;0.490122;0.743043;0.142122;253;3614;3867
198,333;29/11/2011;4;0;11;0;2;1;2;0.458333;0.451375;0.830833;0.258092;96;2818;2914
199,336;02/12/2011;4;0;12;0;5;1;1;0.314167;0.331433;0.625833;0.100754;268;3672;3940
200,337;03/12/2011;4;0;12;0;6;0;1;0.299167;0.310604;0.612917;0.0957833;706;2908;3614
201,339;05/12/2011;4;0;12;0;1;1;2;0.385833;0.393925;0.827083;0.0622083;233;3578;3811
202,341;07/12/2011;4;0;12;0;3;1;3;00.41;0.400246;0.970417;0.266175;50;655;705
203,342;08/12/2011;4;0;12;0;4;1;1;0.265833;0.256938;00.58;0.240058;150;3172;3322
204,343;09/12/2011;4;0;12;0;5;1;1;0.290833;0.317542;0.695833;0.0827167;261;3359;3620
205,345;11/12/2011;4;0;12;0;0;0;1;0.220833;0.253154;00.49;0.0665417;377;2366;2743
206,346;12/12/2011;4;0;12;0;1;1;1;0.238333;0.270196;0.670833;0.06345;143;3167;3310
207,351;17/12/2011;4;0;12;0;6;0;2;0.258333;0.249371;0.560833;0.243167;275;2464;2739
208,352;18/12/2011;4;0;12;0;0;0;1;0.238333;0.245579;0.58625;0.169779;220;2211;2431
209,354;20/12/2011;4;0;12;0;2;1;2;0.385833;0.396454;0.595417;0.0615708;216;3534;3750
210,357;23/12/2011;1;0;12;0;5;1;1;0.373333;0.377513;0.68625;0.274246;163;2046;2209
211,359;25/12/2011;1;0;12;0;0;0;1;0.274783;0.279961;0.681304;0.155091;303;451;754
212,360;26/12/2011;1;0;12;1;1;0;1;0.321739;0.315535;0.506957;0.239465;430;887;1317
213,362;28/12/2011;1;0;12;0;3;1;1;0.29913;0.279974;0.503913;0.293961;255;2047;2302
214,363;29/12/2011;1;0;12;0;4;1;1;0.248333;0.263892;0.574167;0.119412;254;2169;2423
215,364;30/12/2011;1;0;12;0;5;1;1;0.311667;0.318812;0.636667;0.134337;491;2508;2999
216,365;31/12/2011;1;0;12;0;6;0;1;00.41;0.414121;0.615833;0.220154;665;1820;2485
217,367;02/01/2012;1;1;1;1;1;0;1;0.273043;0.252304;0.381304;0.329665;244;1707;1951
218,368;03/01/2012;1;1;1;0;2;1;1;00.15;0.126275;0.44125;0.365671;89;2147;2236
219,370;05/01/2012;1;1;1;0;4;1;1;0.265833;0.278412;0.524167;0.129987;140;3132;3272
220,371;06/01/2012;1;1;1;0;5;1;1;0.334167;0.340267;0.542083;0.167908;307;3791;4098
